t,x,y,z,u,v,w,x_dot,y_dot,z_dot,u_dot,v_dot,w_dot
3.125,8.059498197749985,2.1700313321806495,19.743424363691037,83.33204348312083,-39.93097912304804,232.22829319317793,24.43737482742747,104.3048042512859,-35.160426139883945,-126.17589295686918,6.510093996541949,-677.0230343509706
1.6340000000000001,-1.4198469194715737,-8.740487918658982,14.968300251778217,74.86113375586125,-3.9703437013142513,118.67255755079283,1.6547237639871781,-5.792187123017948,-27.50581143543051,55.96911375766645,-26.221463755976945,-66.18164826166776
5.356,0.046368474078290554,3.564355976328907,14.043163778481485,-28.903351062680194,-10.586011924261282,-49.65747076788467,6.2765239598259726,7.668813146484803,-37.28363110038237,-21.151483677715923,10.693067928986721,90.6802149586818
5.7495,10.292484706975582,21.715016656576992,19.899302643778437,-59.14556465510237,0.46919294188296723,-58.484574810446176,55.079754840911725,61.192094056287985,170.4360064893748,-372.968123708813,65.14504996973098,-592.1097430045852
5.428,0.5259399985853125,4.32658210760489,11.665178284565853,-30.361032567529517,-9.741929814543035,-43.47500230209571,7.645388522666256,14.006483816844913,-28.832008343898806,-20.1093190804942,12.97974632281467,80.58316521721514
1.405,-2.783459907843504,-7.022175322901924,23.020176861215507,56.348881155795446,1.4842514022273101,108.31711957355854,13.961727005211252,-8.32321413428342,-41.84196215865788,105.30283672786993,-21.066525968705772,213.99001440243956
6.408,-15.132532214672114,0.3413676805782088,34.630331794870784,-63.494091712296225,7.5150614711072725,-268.1635547832432,91.24490724020701,92.47728032816148,-97.51446322077958,51.67241566982739,1.0241030417346264,482.8140848216585
3.9435000000000002,8.494079803750667,17.26422262801389,31.581392620640308,-106.45980189535832,-16.95168496290508,-195.66621498558064,-18.758373652726092,-30.733172393391303,62.42558505060654,-438.7683912100909,51.79266788404167,-1405.4866521170923
6.468,-10.237192477379779,2.5002462212422327,28.20446913312709,-63.2745740741071,7.862163421381938,-235.7183785551528,64.09981291211301,-8.269219771119124,-100.80835964500821,-7.243543298137105,7.500738663726699,572.5580141666107
0.371,4.9917632019675,10.642297600337466,2.135379802079769,-0.6066820971129321,2.8555852588005157,-0.015152148042003379,55.89866188658673,115.61217647770557,47.42941222754547,-22.118665246369687,31.9268928010124,-1.1439752160383185
